timestamp,algorithm,evacuated,deaths,deaths_floor_0,deaths_floor_1,deaths_floor_2,evacuated_age_adults,evacuated_age_children,evacuated_age_elderly,evacuated_stafftype_civilian,evacuated_stafftype_staff,datetime
0,Random,0,120,0,0,0,0,0,0,0,0,2025-01-01T00:00:00
0,PSO,2,118,0,0,0,1,0,1,0,2,2025-01-01T00:00:00
0,SFM,2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:00
0,PSO SFM(Staff all evacuate),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:00
0,PSO SFM(Staff all assist),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:00
0,PSO SFM(Half Assist),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:00
0,PSO SFM(Assist Mobile),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:00
0,PSO SFM(Assist Elderly),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:00
0,PSO SFM(Top Evac),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:00
0,PSO SFM(Avoid Top),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:00
0,PSO SFM(Zone Sweep),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:00
0,MFO SFM,1,119,0,0,0,1,0,0,0,1,2025-01-01T00:00:00
0,ACO SFM,2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:00
1,Random,1,119,0,0,0,1,0,0,0,1,2025-01-01T00:00:01
1,PSO,3,117,0,0,0,2,0,1,0,3,2025-01-01T00:00:01
1,SFM,2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:01
1,PSO SFM(Staff all evacuate),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:01
1,PSO SFM(Staff all assist),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:01
1,PSO SFM(Half Assist),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:01
1,PSO SFM(Assist Mobile),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:01
1,PSO SFM(Assist Elderly),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:01
1,PSO SFM(Top Evac),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:01
1,PSO SFM(Avoid Top),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:01
1,PSO SFM(Zone Sweep),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:01
1,MFO SFM,2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:01
1,ACO SFM,2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:01
2,Random,1,119,0,0,0,1,0,0,0,1,2025-01-01T00:00:02
2,PSO,4,116,0,0,0,2,0,2,0,4,2025-01-01T00:00:02
2,SFM,2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:02
2,PSO SFM(Staff all evacuate),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:02
2,PSO SFM(Staff all assist),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:02
2,PSO SFM(Half Assist),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:02
2,PSO SFM(Assist Mobile),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:02
2,PSO SFM(Assist Elderly),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:02
2,PSO SFM(Top Evac),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:02
2,PSO SFM(Avoid Top),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:02
2,PSO SFM(Zone Sweep),2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:02
2,MFO SFM,2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:02
2,ACO SFM,2,118,0,0,0,2,0,0,0,2,2025-01-01T00:00:02
3,Random,1,119,40,40,40,1,0,0,0,1,2025-01-01T00:00:03
3,PSO,6,114,38,40,40,3,0,3,0,6,2025-01-01T00:00:03
3,SFM,2,118,38,40,40,2,0,0,0,2,2025-01-01T00:00:03
3,PSO SFM(Staff all evacuate),3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:03
3,PSO SFM(Staff all assist),3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:03
3,PSO SFM(Half Assist),3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:03
3,PSO SFM(Assist Mobile),3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:03
3,PSO SFM(Assist Elderly),3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:03
3,PSO SFM(Top Evac),3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:03
3,PSO SFM(Avoid Top),3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:03
3,PSO SFM(Zone Sweep),3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:03
3,MFO SFM,2,118,39,40,40,2,0,0,0,2,2025-01-01T00:00:03
3,ACO SFM,2,118,38,40,40,2,0,0,0,2,2025-01-01T00:00:03
4,Random,1,119,39,40,40,1,0,0,0,1,2025-01-01T00:00:04
4,PSO,7,113,37,40,40,4,0,3,0,7,2025-01-01T00:00:04
4,SFM,3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:04
4,PSO SFM(Staff all evacuate),3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:04
4,PSO SFM(Staff all assist),3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:04
4,PSO SFM(Half Assist),3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:04
4,PSO SFM(Assist Mobile),3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:04
4,PSO SFM(Assist Elderly),3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:04
4,PSO SFM(Top Evac),3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:04
4,PSO SFM(Avoid Top),3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:04
4,PSO SFM(Zone Sweep),3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:04
4,MFO SFM,2,118,38,40,40,2,0,0,0,2,2025-01-01T00:00:04
4,ACO SFM,2,118,38,40,40,2,0,0,0,2,2025-01-01T00:00:04
5,Random,1,119,39,40,40,1,0,0,0,1,2025-01-01T00:00:05
5,PSO,9,111,36,40,40,5,1,3,0,9,2025-01-01T00:00:05
5,SFM,4,116,38,40,40,2,0,2,0,4,2025-01-01T00:00:05
5,PSO SFM(Staff all evacuate),6,114,38,40,40,4,0,2,0,6,2025-01-01T00:00:05
5,PSO SFM(Staff all assist),6,114,38,40,40,5,0,1,0,6,2025-01-01T00:00:05
5,PSO SFM(Half Assist),6,114,38,40,40,5,0,1,0,6,2025-01-01T00:00:05
5,PSO SFM(Assist Mobile),6,114,38,40,40,4,0,2,0,6,2025-01-01T00:00:05
5,PSO SFM(Assist Elderly),6,114,38,40,40,5,0,1,0,6,2025-01-01T00:00:05
5,PSO SFM(Top Evac),5,115,38,40,40,3,0,2,0,5,2025-01-01T00:00:05
5,PSO SFM(Avoid Top),6,114,38,40,40,4,0,2,0,6,2025-01-01T00:00:05
5,PSO SFM(Zone Sweep),6,114,38,40,40,5,0,1,0,6,2025-01-01T00:00:05
5,MFO SFM,3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:05
5,ACO SFM,2,118,38,40,40,2,0,0,0,2,2025-01-01T00:00:05
6,Random,1,119,39,40,40,1,0,0,0,1,2025-01-01T00:00:06
6,PSO,11,109,34,40,40,7,1,3,0,11,2025-01-01T00:00:06
6,SFM,7,113,38,40,40,4,0,3,0,7,2025-01-01T00:00:06
6,PSO SFM(Staff all evacuate),9,111,37,40,40,6,0,3,0,9,2025-01-01T00:00:06
6,PSO SFM(Staff all assist),8,112,37,40,40,6,0,2,0,8,2025-01-01T00:00:06
6,PSO SFM(Half Assist),8,112,37,40,40,6,0,2,0,8,2025-01-01T00:00:06
6,PSO SFM(Assist Mobile),7,113,37,40,40,5,0,2,0,7,2025-01-01T00:00:06
6,PSO SFM(Assist Elderly),8,112,37,40,40,6,0,2,0,8,2025-01-01T00:00:06
6,PSO SFM(Top Evac),7,113,37,40,40,5,0,2,0,7,2025-01-01T00:00:06
6,PSO SFM(Avoid Top),7,113,37,40,40,5,0,2,0,7,2025-01-01T00:00:06
6,PSO SFM(Zone Sweep),8,112,37,40,40,6,0,2,0,8,2025-01-01T00:00:06
6,MFO SFM,3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:06
6,ACO SFM,3,117,38,40,40,2,0,1,0,3,2025-01-01T00:00:06
7,Random,1,119,39,40,40,1,0,0,0,1,2025-01-01T00:00:07
7,PSO,12,108,33,40,40,8,1,3,0,12,2025-01-01T00:00:07
7,SFM,8,112,37,40,40,5,0,3,0,8,2025-01-01T00:00:07
7,PSO SFM(Staff all evacuate),10,110,37,40,40,7,0,3,0,10,2025-01-01T00:00:07
7,PSO SFM(Staff all assist),11,109,37,40,40,8,0,3,0,11,2025-01-01T00:00:07
7,PSO SFM(Half Assist),10,110,37,40,40,8,0,2,0,10,2025-01-01T00:00:07
7,PSO SFM(Assist Mobile),9,111,37,40,40,7,0,2,0,9,2025-01-01T00:00:07
7,PSO SFM(Assist Elderly),11,109,37,40,40,8,0,3,0,11,2025-01-01T00:00:07
7,PSO SFM(Top Evac),9,111,37,40,40,7,0,2,0,9,2025-01-01T00:00:07
7,PSO SFM(Avoid Top),9,111,37,40,40,7,0,2,0,9,2025-01-01T00:00:07
7,PSO SFM(Zone Sweep),10,110,37,40,40,8,0,2,0,10,2025-01-01T00:00:07
7,MFO SFM,4,116,38,40,40,2,0,2,0,4,2025-01-01T00:00:07
7,ACO SFM,4,116,38,40,40,2,0,2,0,4,2025-01-01T00:00:07
8,Random,1,119,39,40,40,1,0,0,0,1,2025-01-01T00:00:08
8,PSO,14,106,31,40,40,10,1,3,0,14,2025-01-01T00:00:08
8,SFM,9,111,36,40,40,6,0,3,0,9,2025-01-01T00:00:08
8,PSO SFM(Staff all evacuate),14,106,34,40,40,9,1,4,0,14,2025-01-01T00:00:08
8,PSO SFM(Staff all assist),12,108,34,40,40,9,0,3,0,12,2025-01-01T00:00:08
8,PSO SFM(Half Assist),12,108,34,40,40,9,0,3,0,12,2025-01-01T00:00:08
8,PSO SFM(Assist Mobile),12,108,34,40,40,9,0,3,0,12,2025-01-01T00:00:08
8,PSO SFM(Assist Elderly),12,108,34,40,40,9,0,3,0,12,2025-01-01T00:00:08
8,PSO SFM(Top Evac),12,108,35,40,40,9,0,3,0,12,2025-01-01T00:00:08
8,PSO SFM(Avoid Top),12,108,34,40,40,9,0,3,0,12,2025-01-01T00:00:08
8,PSO SFM(Zone Sweep),12,108,34,40,40,9,0,3,0,12,2025-01-01T00:00:08
8,MFO SFM,4,116,37,40,40,2,0,2,0,4,2025-01-01T00:00:08
8,ACO SFM,7,113,38,40,40,5,0,2,0,7,2025-01-01T00:00:08
9,Random,1,119,39,40,40,1,0,0,0,1,2025-01-01T00:00:09
9,PSO,14,106,29,40,40,10,1,3,0,14,2025-01-01T00:00:09
9,SFM,11,109,33,40,40,8,0,3,0,11,2025-01-01T00:00:09
9,PSO SFM(Staff all evacuate),16,104,31,40,40,10,1,5,0,16,2025-01-01T00:00:09
9,PSO SFM(Staff all assist),14,106,32,40,40,10,0,4,0,14,2025-01-01T00:00:09
9,PSO SFM(Half Assist),16,104,32,40,40,12,0,4,0,16,2025-01-01T00:00:09
9,PSO SFM(Assist Mobile),16,104,33,40,40,12,0,4,0,16,2025-01-01T00:00:09
