timestamp,algorithm,evacuated,deaths,deaths_floor_0,deaths_floor_1,deaths_floor_2,evacuated_age_adults,evacuated_age_children,evacuated_age_elderly,evacuated_stafftype_civilian,evacuated_stafftype_staff,datetime
0,Random,1,119,0,0,0,0,0,1,1,0,2025-01-01T00:00:00
0,PSO,3,117,0,0,0,3,0,0,0,3,2025-01-01T00:00:00
0,SFM,2,118,0,0,0,1,0,1,2,0,2025-01-01T00:00:00
0,PSO SFM(Staff all evacuate),3,117,0,0,0,2,0,1,2,1,2025-01-01T00:00:00
0,PSO SFM(Staff all assist),2,118,0,0,0,1,0,1,2,0,2025-01-01T00:00:00
0,PSO SFM(Half Assist),2,118,0,0,0,1,0,1,2,0,2025-01-01T00:00:00
0,PSO SFM(Assist Mobile),2,118,0,0,0,1,0,1,2,0,2025-01-01T00:00:00
0,PSO SFM(Assist Elderly),2,118,0,0,0,1,0,1,2,0,2025-01-01T00:00:00
0,PSO SFM(Top Evac),2,118,0,0,0,1,0,1,2,0,2025-01-01T00:00:00
0,PSO SFM(Avoid Top),2,118,0,0,0,1,0,1,2,0,2025-01-01T00:00:00
0,PSO SFM(Zone Sweep),2,118,0,0,0,1,0,1,2,0,2025-01-01T00:00:00
0,MFO SFM,2,118,0,0,0,1,0,1,2,0,2025-01-01T00:00:00
0,ACO SFM,2,118,0,0,0,1,0,1,2,0,2025-01-01T00:00:00
1,Random,1,119,0,0,0,0,0,1,1,0,2025-01-01T00:00:01
1,PSO,7,113,0,0,0,7,0,0,0,7,2025-01-01T00:00:01
1,SFM,5,115,0,0,0,4,0,1,4,1,2025-01-01T00:00:01
1,PSO SFM(Staff all evacuate),3,117,0,0,0,2,0,1,2,1,2025-01-01T00:00:01
1,PSO SFM(Staff all assist),2,118,0,0,0,1,0,1,2,0,2025-01-01T00:00:01
1,PSO SFM(Half Assist),2,118,0,0,0,1,0,1,2,0,2025-01-01T00:00:01
1,PSO SFM(Assist Mobile),3,117,0,0,0,2,0,1,2,1,2025-01-01T00:00:01
1,PSO SFM(Assist Elderly),3,117,0,0,0,2,0,1,2,1,2025-01-01T00:00:01
1,PSO SFM(Top Evac),3,117,0,0,0,2,0,1,2,1,2025-01-01T00:00:01
1,PSO SFM(Avoid Top),2,118,0,0,0,1,0,1,2,0,2025-01-01T00:00:01
1,PSO SFM(Zone Sweep),2,118,0,0,0,1,0,1,2,0,2025-01-01T00:00:01
1,MFO SFM,4,116,0,0,0,2,0,2,4,0,2025-01-01T00:00:01
1,ACO SFM,2,118,0,0,0,1,0,1,2,0,2025-01-01T00:00:01
2,Random,1,119,0,0,0,0,0,1,1,0,2025-01-01T00:00:02
2,PSO,11,109,0,0,0,8,3,0,0,11,2025-01-01T00:00:02
2,SFM,8,112,0,0,0,6,0,2,7,1,2025-01-01T00:00:02
2,PSO SFM(Staff all evacuate),5,115,0,0,0,4,0,1,4,1,2025-01-01T00:00:02
