timestamp,algorithm,evacuated,deaths,deaths_floor_0,deaths_floor_1,deaths_floor_2,evacuated_age_adults,evacuated_age_children,evacuated_age_elderly,evacuated_stafftype_civilian,evacuated_stafftype_staff,datetime
0,Random,2,118,0,0,0,2,0,0,2,0,2025-01-01T00:00:00
0,PSO,4,116,0,0,0,3,0,1,0,4,2025-01-01T00:00:00
0,SFM,6,114,0,0,0,4,0,2,5,1,2025-01-01T00:00:00
0,PSO SFM(Staff all evacuate),6,114,0,0,0,4,0,2,5,1,2025-01-01T00:00:00
0,PSO SFM(Staff all assist),5,115,0,0,0,3,0,2,5,0,2025-01-01T00:00:00
0,PSO SFM(Half Assist),6,114,0,0,0,4,0,2,5,1,2025-01-01T00:00:00
0,PSO SFM(Assist Mobile),6,114,0,0,0,4,0,2,5,1,2025-01-01T00:00:00
0,PSO SFM(Assist Elderly),6,114,0,0,0,4,0,2,5,1,2025-01-01T00:00:00
0,PSO SFM(Top Evac),6,114,0,0,0,4,0,2,5,1,2025-01-01T00:00:00
0,PSO SFM(Avoid Top),6,114,0,0,0,4,0,2,5,1,2025-01-01T00:00:00
0,PSO SFM(Zone Sweep),6,114,0,0,0,4,0,2,5,1,2025-01-01T00:00:00
0,MFO SFM,5,115,0,0,0,3,0,2,5,0,2025-01-01T00:00:00
0,ACO SFM,6,114,0,0,0,4,0,2,5,1,2025-01-01T00:00:00
1,Random,2,118,0,0,0,2,0,0,2,0,2025-01-01T00:00:01
1,PSO,8,112,0,0,0,7,0,1,0,8,2025-01-01T00:00:01
1,SFM,8,112,0,0,0,5,0,3,7,1,2025-01-01T00:00:01
1,PSO SFM(Staff all evacuate),6,114,0,0,0,4,0,2,5,1,2025-01-01T00:00:01
1,PSO SFM(Staff all assist),5,115,0,0,0,3,0,2,5,0,2025-01-01T00:00:01
1,PSO SFM(Half Assist),6,114,0,0,0,4,0,2,5,1,2025-01-01T00:00:01
1,PSO SFM(Assist Mobile),6,114,0,0,0,4,0,2,5,1,2025-01-01T00:00:01
1,PSO SFM(Assist Elderly),6,114,0,0,0,4,0,2,5,1,2025-01-01T00:00:01
1,PSO SFM(Top Evac),6,114,0,0,0,4,0,2,5,1,2025-01-01T00:00:01
1,PSO SFM(Avoid Top),6,114,0,0,0,4,0,2,5,1,2025-01-01T00:00:01
1,PSO SFM(Zone Sweep),6,114,0,0,0,4,0,2,5,1,2025-01-01T00:00:01
1,MFO SFM,6,114,0,0,0,4,0,2,5,1,2025-01-01T00:00:01
1,ACO SFM,7,113,0,0,0,4,0,3,6,1,2025-01-01T00:00:01
2,Random,2,118,0,0,0,2,0,0,2,0,2025-01-01T00:00:02
2,PSO,11,109,0,0,0,8,1,2,0,11,2025-01-01T00:00:02
2,SFM,10,110,0,0,0,6,1,3,9,1,2025-01-01T00:00:02
2,PSO SFM(Staff all evacuate),7,113,0,0,0,4,0,3,6,1,2025-01-01T00:00:02
2,PSO SFM(Staff all assist),6,114,0,0,0,3,0,3,6,0,2025-01-01T00:00:02
2,PSO SFM(Half Assist),8,112,0,0,0,5,0,3,7,1,2025-01-01T00:00:02
2,PSO SFM(Assist Mobile),7,113,0,0,0,5,0,2,6,1,2025-01-01T00:00:02
2,PSO SFM(Assist Elderly),7,113,0,0,0,4,0,3,6,1,2025-01-01T00:00:02
2,PSO SFM(Top Evac),7,113,0,0,0,4,0,3,6,1,2025-01-01T00:00:02
2,PSO SFM(Avoid Top),8,112,0,0,0,5,0,3,7,1,2025-01-01T00:00:02
2,PSO SFM(Zone Sweep),7,113,0,0,0,4,0,3,6,1,2025-01-01T00:00:02
2,MFO SFM,8,112,0,0,0,6,0,2,7,1,2025-01-01T00:00:02
2,ACO SFM,9,111,0,0,0,6,0,3,8,1,2025-01-01T00:00:02
3,Random,2,118,105,5,8,2,0,0,2,0,2025-01-01T00:00:03
3,PSO,14,106,103,5,8,10,1,3,0,14,2025-01-01T00:00:03
3,SFM,11,109,101,5,8,7,1,3,10,1,2025-01-01T00:00:03
3,PSO SFM(Staff all evacuate),7,113,101,5,8,4,0,3,6,1,2025-01-01T00:00:03
3,PSO SFM(Staff all assist),7,113,102,5,8,4,0,3,7,0,2025-01-01T00:00:03
3,PSO SFM(Half Assist),8,112,101,5,8,5,0,3,7,1,2025-01-01T00:00:03
3,PSO SFM(Assist Mobile),7,113,101,5,8,5,0,2,6,1,2025-01-01T00:00:03
3,PSO SFM(Assist Elderly),7,113,101,5,8,4,0,3,6,1,2025-01-01T00:00:03
3,PSO SFM(Top Evac),8,112,101,5,8,5,0,3,7,1,2025-01-01T00:00:03
3,PSO SFM(Avoid Top),8,112,101,5,8,5,0,3,7,1,2025-01-01T00:00:03
3,PSO SFM(Zone Sweep),7,113,101,5,8,4,0,3,6,1,2025-01-01T00:00:03
3,MFO SFM,10,110,102,5,8,7,0,3,9,1,2025-01-01T00:00:03
3,ACO SFM,11,109,101,5,8,7,1,3,10,1,2025-01-01T00:00:03
4,Random,2,118,105,5,8,2,0,0,2,0,2025-01-01T00:00:04
4,PSO,18,102,99,5,8,12,2,4,0,18,2025-01-01T00:00:04
4,SFM,12,108,99,5,8,8,1,3,11,1,2025-01-01T00:00:04
4,PSO SFM(Staff all evacuate),7,113,101,5,8,4,0,3,6,1,2025-01-01T00:00:04
4,PSO SFM(Staff all assist),11,109,102,5,8,5,1,5,11,0,2025-01-01T00:00:04
4,PSO SFM(Half Assist),9,111,101,5,8,5,0,4,8,1,2025-01-01T00:00:04
4,PSO SFM(Assist Mobile),9,111,101,5,8,7,0,2,8,1,2025-01-01T00:00:04
4,PSO SFM(Assist Elderly),9,111,101,5,8,5,0,4,8,1,2025-01-01T00:00:04
4,PSO SFM(Top Evac),9,111,101,5,8,6,0,3,8,1,2025-01-01T00:00:04
4,PSO SFM(Avoid Top),10,110,101,5,8,6,1,3,9,1,2025-01-01T00:00:04
4,PSO SFM(Zone Sweep),8,112,101,5,8,5,0,3,7,1,2025-01-01T00:00:04
4,MFO SFM,11,109,101,5,8,7,1,3,10,1,2025-01-01T00:00:04
4,ACO SFM,12,108,100,5,8,8,1,3,11,1,2025-01-01T00:00:04
5,Random,2,118,105,5,8,2,0,0,2,0,2025-01-01T00:00:05
5,PSO,21,99,96,5,8,14,3,4,0,21,2025-01-01T00:00:05
5,SFM,16,104,97,5,8,9,1,6,15,1,2025-01-01T00:00:05
5,PSO SFM(Staff all evacuate),9,111,100,5,8,6,0,3,8,1,2025-01-01T00:00:05
5,PSO SFM(Staff all assist),13,107,101,5,8,6,2,5,13,0,2025-01-01T00:00:05
5,PSO SFM(Half Assist),12,108,99,5,8,6,2,4,11,1,2025-01-01T00:00:05
5,PSO SFM(Assist Mobile),9,111,100,5,8,7,0,2,8,1,2025-01-01T00:00:05
5,PSO SFM(Assist Elderly),10,110,100,5,8,6,0,4,9,1,2025-01-01T00:00:05
5,PSO SFM(Top Evac),12,108,100,5,8,7,2,3,11,1,2025-01-01T00:00:05
5,PSO SFM(Avoid Top),12,108,99,5,8,7,2,3,11,1,2025-01-01T00:00:05
5,PSO SFM(Zone Sweep),11,109,100,5,8,6,2,3,10,1,2025-01-01T00:00:05
5,MFO SFM,12,108,99,5,8,7,1,4,11,1,2025-01-01T00:00:05
5,ACO SFM,12,108,98,5,8,8,1,3,11,1,2025-01-01T00:00:05
6,Random,2,118,105,5,8,2,0,0,2,0,2025-01-01T00:00:06
6,PSO,24,96,93,5,8,16,3,5,0,24,2025-01-01T00:00:06
6,SFM,16,104,96,5,8,9,1,6,15,1,2025-01-01T00:00:06
6,PSO SFM(Staff all evacuate),10,110,100,5,8,7,0,3,9,1,2025-01-01T00:00:06
6,PSO SFM(Staff all assist),15,105,100,5,8,7,2,6,15,0,2025-01-01T00:00:06
6,PSO SFM(Half Assist),13,107,99,5,8,7,2,4,12,1,2025-01-01T00:00:06
6,PSO SFM(Assist Mobile),13,107,100,5,8,8,1,4,12,1,2025-01-01T00:00:06
6,PSO SFM(Assist Elderly),11,109,100,5,8,7,0,4,10,1,2025-01-01T00:00:06
6,PSO SFM(Top Evac),12,108,99,5,8,7,2,3,11,1,2025-01-01T00:00:06
6,PSO SFM(Avoid Top),14,106,99,5,8,7,2,5,13,1,2025-01-01T00:00:06
