timestamp,algorithm,evacuated,deaths,deaths_floor_0,deaths_floor_1,deaths_floor_2,evacuated_age_adults,evacuated_age_children,evacuated_age_elderly,evacuated_stafftype_civilian,evacuated_stafftype_staff,datetime
0,Random,1,119,0,0,0,0,0,1,1,0,2025-01-01T00:00:00
0,PSO,3,117,0,0,0,2,0,1,0,3,2025-01-01T00:00:00
0,SFM,3,117,0,0,0,0,0,3,3,0,2025-01-01T00:00:00
0,PSO SFM(Staff all evacuate),3,117,0,0,0,0,0,3,3,0,2025-01-01T00:00:00
0,PSO SFM(Staff all assist),3,117,0,0,0,0,0,3,3,0,2025-01-01T00:00:00
0,PSO SFM(Half Assist),3,117,0,0,0,0,0,3,3,0,2025-01-01T00:00:00
0,PSO SFM(Assist Mobile),3,117,0,0,0,0,0,3,3,0,2025-01-01T00:00:00
0,PSO SFM(Assist Elderly),3,117,0,0,0,0,0,3,3,0,2025-01-01T00:00:00
0,PSO SFM(Top Evac),3,117,0,0,0,0,0,3,3,0,2025-01-01T00:00:00
0,PSO SFM(Avoid Top),3,117,0,0,0,0,0,3,3,0,2025-01-01T00:00:00
0,PSO SFM(Zone Sweep),3,117,0,0,0,0,0,3,3,0,2025-01-01T00:00:00
0,MFO SFM,2,118,0,0,0,0,0,2,2,0,2025-01-01T00:00:00
0,ACO SFM,3,117,0,0,0,0,0,3,3,0,2025-01-01T00:00:00
1,Random,1,119,0,0,0,0,0,1,1,0,2025-01-01T00:00:01
1,PSO,4,116,0,0,0,2,0,2,0,4,2025-01-01T00:00:01
1,SFM,4,116,0,0,0,1,0,3,4,0,2025-01-01T00:00:01
1,PSO SFM(Staff all evacuate),3,117,0,0,0,0,0,3,3,0,2025-01-01T00:00:01
1,PSO SFM(Staff all assist),3,117,0,0,0,0,0,3,3,0,2025-01-01T00:00:01
1,PSO SFM(Half Assist),3,117,0,0,0,0,0,3,3,0,2025-01-01T00:00:01
1,PSO SFM(Assist Mobile),3,117,0,0,0,0,0,3,3,0,2025-01-01T00:00:01
1,PSO SFM(Assist Elderly),3,117,0,0,0,0,0,3,3,0,2025-01-01T00:00:01
1,PSO SFM(Top Evac),3,117,0,0,0,0,0,3,3,0,2025-01-01T00:00:01
1,PSO SFM(Avoid Top),3,117,0,0,0,0,0,3,3,0,2025-01-01T00:00:01
1,PSO SFM(Zone Sweep),3,117,0,0,0,0,0,3,3,0,2025-01-01T00:00:01
1,MFO SFM,3,117,0,0,0,1,0,2,3,0,2025-01-01T00:00:01
1,ACO SFM,4,116,0,0,0,1,0,3,4,0,2025-01-01T00:00:01
2,Random,1,119,0,0,0,0,0,1,1,0,2025-01-01T00:00:02
2,PSO,5,115,0,0,0,3,0,2,0,5,2025-01-01T00:00:02
