timestamp,algorithm,evacuated,deaths,deaths_floor_0,evacuated_age_adults,evacuated_age_children,evacuated_age_elderly,evacuated_stafftype_civilian,evacuated_stafftype_staff,datetime
0,Random,3,117,0,2,0,1,3,0,2025-01-01T00:00:00
0,PSO,8,112,0,4,0,4,0,8,2025-01-01T00:00:00
0,SFM,6,114,0,4,0,2,6,0,2025-01-01T00:00:00
0,PSO SFM(Staff all evacuate),5,115,0,3,0,2,5,0,2025-01-01T00:00:00
0,PSO SFM(Staff all assist),6,114,0,3,0,3,6,0,2025-01-01T00:00:00
0,PSO SFM(Half Assist),6,114,0,3,0,3,6,0,2025-01-01T00:00:00
0,PSO SFM(Assist Mobile),6,114,0,4,0,2,6,0,2025-01-01T00:00:00
0,PSO SFM(Assist Elderly),6,114,0,4,0,2,6,0,2025-01-01T00:00:00
0,PSO SFM(Top Evac),6,114,0,3,0,3,6,0,2025-01-01T00:00:00
0,PSO SFM(Avoid Top),6,114,0,3,0,3,6,0,2025-01-01T00:00:00
0,PSO SFM(Zone Sweep),6,114,0,3,0,3,6,0,2025-01-01T00:00:00
0,MFO SFM,6,114,0,4,0,2,6,0,2025-01-01T00:00:00
0,ACO SFM,6,114,0,4,0,2,6,0,2025-01-01T00:00:00
1,Random,3,117,117,2,0,1,3,0,2025-01-01T00:00:01
1,PSO,13,107,112,9,0,4,0,13,2025-01-01T00:00:01
1,SFM,10,110,114,5,1,4,9,1,2025-01-01T00:00:01
1,PSO SFM(Staff all evacuate),9,111,115,6,1,2,7,2,2025-01-01T00:00:01
1,PSO SFM(Staff all assist),8,112,114,4,0,4,8,0,2025-01-01T00:00:01
1,PSO SFM(Half Assist),9,111,114,5,0,4,8,1,2025-01-01T00:00:01
1,PSO SFM(Assist Mobile),9,111,114,6,0,3,8,1,2025-01-01T00:00:01
1,PSO SFM(Assist Elderly),8,112,114,5,0,3,7,1,2025-01-01T00:00:01
1,PSO SFM(Top Evac),8,112,114,4,0,4,8,0,2025-01-01T00:00:01
1,PSO SFM(Avoid Top),8,112,114,4,0,4,8,0,2025-01-01T00:00:01
1,PSO SFM(Zone Sweep),8,112,114,4,0,4,8,0,2025-01-01T00:00:01
1,MFO SFM,10,110,114,5,0,5,9,1,2025-01-01T00:00:01
1,ACO SFM,9,111,114,6,0,3,8,1,2025-01-01T00:00:01
2,Random,3,117,117,2,0,1,3,0,2025-01-01T00:00:02
2,PSO,17,103,107,11,1,5,0,17,2025-01-01T00:00:02
2,SFM,13,107,110,8,1,4,11,2,2025-01-01T00:00:02
2,PSO SFM(Staff all evacuate),13,107,111,8,1,4,11,2,2025-01-01T00:00:02
2,PSO SFM(Staff all assist),12,108,112,6,1,5,12,0,2025-01-01T00:00:02
2,PSO SFM(Half Assist),12,108,111,6,0,6,11,1,2025-01-01T00:00:02
2,PSO SFM(Assist Mobile),12,108,111,7,1,4,11,1,2025-01-01T00:00:02
2,PSO SFM(Assist Elderly),10,110,112,6,0,4,9,1,2025-01-01T00:00:02
2,PSO SFM(Top Evac),13,107,112,5,2,6,13,0,2025-01-01T00:00:02
2,PSO SFM(Avoid Top),13,107,112,7,1,5,13,0,2025-01-01T00:00:02
2,PSO SFM(Zone Sweep),11,109,112,6,0,5,11,0,2025-01-01T00:00:02
2,MFO SFM,11,109,110,6,0,5,10,1,2025-01-01T00:00:02
2,ACO SFM,14,106,111,8,1,5,12,2,2025-01-01T00:00:02
3,Random,3,117,117,2,0,1,3,0,2025-01-01T00:00:03
3,PSO,23,97,103,13,1,9,0,23,2025-01-01T00:00:03
3,SFM,18,102,107,12,1,5,15,3,2025-01-01T00:00:03
3,PSO SFM(Staff all evacuate),15,105,107,9,1,5,13,2,2025-01-01T00:00:03
3,PSO SFM(Staff all assist),17,103,108,10,2,5,17,0,2025-01-01T00:00:03
3,PSO SFM(Half Assist),16,104,108,9,1,6,15,1,2025-01-01T00:00:03
