timestamp,algorithm,evacuated,deaths,deaths_floor_0,deaths_floor_1,deaths_floor_2,evacuated_age_adults,evacuated_age_children,evacuated_age_elderly,evacuated_stafftype_civilian,evacuated_stafftype_staff,datetime
0,Random,0,120,0,0,0,0,0,0,0,0,2025-01-01T00:00:00
0,PSO,3,117,0,0,0,1,0,2,0,3,2025-01-01T00:00:00
0,SFM,3,117,0,0,0,0,1,2,2,1,2025-01-01T00:00:00
0,PSO SFM(Staff all evacuate),3,117,0,0,0,0,1,2,2,1,2025-01-01T00:00:00
0,PSO SFM(Staff all assist),2,118,0,0,0,0,0,2,2,0,2025-01-01T00:00:00
0,PSO SFM(Half Assist),3,117,0,0,0,0,1,2,2,1,2025-01-01T00:00:00
0,PSO SFM(Assist Mobile),3,117,0,0,0,0,1,2,2,1,2025-01-01T00:00:00
0,PSO SFM(Assist Elderly),3,117,0,0,0,0,1,2,2,1,2025-01-01T00:00:00
0,PSO SFM(Top Evac),3,117,0,0,0,0,1,2,2,1,2025-01-01T00:00:00
0,PSO SFM(Avoid Top),2,118,0,0,0,0,0,2,2,0,2025-01-01T00:00:00
0,PSO SFM(Zone Sweep),2,118,0,0,0,0,0,2,2,0,2025-01-01T00:00:00
0,MFO SFM,1,119,0,0,0,0,0,1,1,0,2025-01-01T00:00:00
0,ACO SFM,3,117,0,0,0,0,1,2,2,1,2025-01-01T00:00:00
1,Random,2,118,0,0,0,0,0,2,2,0,2025-01-01T00:00:01
1,PSO,4,116,0,0,0,1,0,3,0,4,2025-01-01T00:00:01
1,SFM,4,116,0,0,0,0,1,3,3,1,2025-01-01T00:00:01
1,PSO SFM(Staff all evacuate),3,117,0,0,0,0,1,2,2,1,2025-01-01T00:00:01
1,PSO SFM(Staff all assist),2,118,0,0,0,0,0,2,2,0,2025-01-01T00:00:01
1,PSO SFM(Half Assist),3,117,0,0,0,0,1,2,2,1,2025-01-01T00:00:01
1,PSO SFM(Assist Mobile),3,117,0,0,0,0,1,2,2,1,2025-01-01T00:00:01
1,PSO SFM(Assist Elderly),3,117,0,0,0,0,1,2,2,1,2025-01-01T00:00:01
1,PSO SFM(Top Evac),3,117,0,0,0,0,1,2,2,1,2025-01-01T00:00:01
1,PSO SFM(Avoid Top),2,118,0,0,0,0,0,2,2,0,2025-01-01T00:00:01
1,PSO SFM(Zone Sweep),2,118,0,0,0,0,0,2,2,0,2025-01-01T00:00:01
1,MFO SFM,1,119,0,0,0,0,0,1,1,0,2025-01-01T00:00:01
1,ACO SFM,4,116,0,0,0,0,1,3,3,1,2025-01-01T00:00:01
2,Random,2,118,0,0,0,0,0,2,2,0,2025-01-01T00:00:02
2,PSO,5,115,0,0,0,1,1,3,0,5,2025-01-01T00:00:02
2,SFM,4,116,0,0,0,0,1,3,3,1,2025-01-01T00:00:02
2,PSO SFM(Staff all evacuate),5,115,0,0,0,1,1,3,3,2,2025-01-01T00:00:02
2,PSO SFM(Staff all assist),2,118,0,0,0,0,0,2,2,0,2025-01-01T00:00:02
2,PSO SFM(Half Assist),4,116,0,0,0,1,1,2,2,2,2025-01-01T00:00:02
2,PSO SFM(Assist Mobile),5,115,0,0,0,1,1,3,3,2,2025-01-01T00:00:02
2,PSO SFM(Assist Elderly),5,115,0,0,0,1,1,3,3,2,2025-01-01T00:00:02
2,PSO SFM(Top Evac),5,115,0,0,0,1,1,3,3,2,2025-01-01T00:00:02
2,PSO SFM(Avoid Top),2,118,0,0,0,0,0,2,2,0,2025-01-01T00:00:02
2,PSO SFM(Zone Sweep),3,117,0,0,0,0,0,3,3,0,2025-01-01T00:00:02
2,MFO SFM,2,118,0,0,0,0,1,1,1,1,2025-01-01T00:00:02
2,ACO SFM,4,116,0,0,0,0,1,3,3,1,2025-01-01T00:00:02
3,Random,2,118,40,40,40,0,0,2,2,0,2025-01-01T00:00:03
3,PSO,8,112,37,40,40,4,1,3,0,8,2025-01-01T00:00:03
3,SFM,5,115,37,40,40,1,1,3,3,2,2025-01-01T00:00:03
3,PSO SFM(Staff all evacuate),5,115,37,40,40,1,1,3,3,2,2025-01-01T00:00:03
3,PSO SFM(Staff all assist),3,117,38,40,40,0,0,3,3,0,2025-01-01T00:00:03
3,PSO SFM(Half Assist),5,115,37,40,40,1,1,3,3,2,2025-01-01T00:00:03
3,PSO SFM(Assist Mobile),5,115,37,40,40,1,1,3,3,2,2025-01-01T00:00:03
3,PSO SFM(Assist Elderly),5,115,37,40,40,1,1,3,3,2,2025-01-01T00:00:03
3,PSO SFM(Top Evac),5,115,37,40,40,1,1,3,3,2,2025-01-01T00:00:03
3,PSO SFM(Avoid Top),3,117,38,40,40,0,0,3,3,0,2025-01-01T00:00:03
3,PSO SFM(Zone Sweep),3,117,38,40,40,0,0,3,3,0,2025-01-01T00:00:03
3,MFO SFM,4,116,39,40,40,0,1,3,3,1,2025-01-01T00:00:03
3,ACO SFM,5,115,37,40,40,1,1,3,3,2,2025-01-01T00:00:03
4,Random,2,118,38,40,40,0,0,2,2,0,2025-01-01T00:00:04
4,PSO,9,111,36,40,40,4,1,4,0,9,2025-01-01T00:00:04
4,SFM,6,114,36,40,40,2,1,3,4,2,2025-01-01T00:00:04
4,PSO SFM(Staff all evacuate),5,115,37,40,40,1,1,3,3,2,2025-01-01T00:00:04
4,PSO SFM(Staff all assist),3,117,38,40,40,0,0,3,3,0,2025-01-01T00:00:04
4,PSO SFM(Half Assist),5,115,37,40,40,1,1,3,3,2,2025-01-01T00:00:04
4,PSO SFM(Assist Mobile),5,115,37,40,40,1,1,3,3,2,2025-01-01T00:00:04
4,PSO SFM(Assist Elderly),5,115,37,40,40,1,1,3,3,2,2025-01-01T00:00:04
4,PSO SFM(Top Evac),5,115,37,40,40,1,1,3,3,2,2025-01-01T00:00:04
4,PSO SFM(Avoid Top),3,117,38,40,40,0,0,3,3,0,2025-01-01T00:00:04
4,PSO SFM(Zone Sweep),3,117,38,40,40,0,0,3,3,0,2025-01-01T00:00:04
4,MFO SFM,4,116,39,40,40,0,1,3,3,1,2025-01-01T00:00:04
4,ACO SFM,5,115,36,40,40,1,1,3,3,2,2025-01-01T00:00:04
5,Random,2,118,38,40,40,0,0,2,2,0,2025-01-01T00:00:05
5,PSO,11,109,35,40,40,5,1,5,0,11,2025-01-01T00:00:05
5,SFM,7,113,36,40,40,3,1,3,5,2,2025-01-01T00:00:05
5,PSO SFM(Staff all evacuate),5,115,35,40,40,1,1,3,3,2,2025-01-01T00:00:05
5,PSO SFM(Staff all assist),3,117,38,40,40,0,0,3,3,0,2025-01-01T00:00:05
5,PSO SFM(Half Assist),5,115,36,40,40,1,1,3,3,2,2025-01-01T00:00:05
5,PSO SFM(Assist Mobile),5,115,35,40,40,1,1,3,3,2,2025-01-01T00:00:05
5,PSO SFM(Assist Elderly),5,115,35,40,40,1,1,3,3,2,2025-01-01T00:00:05
5,PSO SFM(Top Evac),5,115,35,40,40,1,1,3,3,2,2025-01-01T00:00:05
5,PSO SFM(Avoid Top),3,117,38,40,40,0,0,3,3,0,2025-01-01T00:00:05
5,PSO SFM(Zone Sweep),3,117,37,40,40,0,0,3,3,0,2025-01-01T00:00:05
5,MFO SFM,5,115,38,40,40,1,1,3,4,1,2025-01-01T00:00:05
5,ACO SFM,5,115,36,40,40,1,1,3,3,2,2025-01-01T00:00:05
6,Random,2,118,38,40,40,0,0,2,2,0,2025-01-01T00:00:06
6,PSO,11,109,32,40,40,5,1,5,0,11,2025-01-01T00:00:06
