timestamp,algorithm,evacuated,deaths,deaths_floor_0,evacuated_age_adults,evacuated_age_children,evacuated_age_elderly,evacuated_stafftype_civilian,evacuated_stafftype_staff,datetime
0,Random,0,120,0,0,0,0,0,0,2025-01-01T00:00:00
0,PSO,2,118,0,2,0,0,0,2,2025-01-01T00:00:00
0,SFM,3,117,0,1,0,2,3,0,2025-01-01T00:00:00
0,PSO SFM(Staff all evacuate),3,117,0,1,0,2,3,0,2025-01-01T00:00:00
0,PSO SFM(Staff all assist),4,116,0,1,0,3,4,0,2025-01-01T00:00:00
0,PSO SFM(Half Assist),4,116,0,1,0,3,4,0,2025-01-01T00:00:00
0,PSO SFM(Assist Mobile),3,117,0,1,0,2,3,0,2025-01-01T00:00:00
0,PSO SFM(Assist Elderly),4,116,0,1,0,3,4,0,2025-01-01T00:00:00
0,PSO SFM(Top Evac),4,116,0,1,0,3,4,0,2025-01-01T00:00:00
0,PSO SFM(Avoid Top),4,116,0,1,0,3,4,0,2025-01-01T00:00:00
0,PSO SFM(Zone Sweep),4,116,0,1,0,3,4,0,2025-01-01T00:00:00
0,MFO SFM,2,118,0,0,0,2,2,0,2025-01-01T00:00:00
0,ACO SFM,3,117,0,1,0,2,3,0,2025-01-01T00:00:00
1,Random,1,119,120,1,0,0,1,0,2025-01-01T00:00:01
1,PSO,7,113,118,5,1,1,0,7,2025-01-01T00:00:01
1,SFM,6,114,117,4,0,2,6,0,2025-01-01T00:00:01
1,PSO SFM(Staff all evacuate),3,117,117,1,0,2,3,0,2025-01-01T00:00:01
1,PSO SFM(Staff all assist),4,116,116,1,0,3,4,0,2025-01-01T00:00:01
1,PSO SFM(Half Assist),4,116,116,1,0,3,4,0,2025-01-01T00:00:01
1,PSO SFM(Assist Mobile),3,117,117,1,0,2,3,0,2025-01-01T00:00:01
1,PSO SFM(Assist Elderly),4,116,116,1,0,3,4,0,2025-01-01T00:00:01
1,PSO SFM(Top Evac),4,116,116,1,0,3,4,0,2025-01-01T00:00:01
1,PSO SFM(Avoid Top),4,116,116,1,0,3,4,0,2025-01-01T00:00:01
